,index,description,alpha,dir_name,num_snps_found,num_coding_snps_found,num_overlapping_snps,num_overlapping_loci,num_original_list,num_original_coding_snps,p_value_threshold,percentage_loci_recovered,ld_based_clumping,r2_threshold,kb_radius,window_size
0,0,Albumin,0.01,biomarkers-30600-both_sexes-irnt.tsv,,,,,,,,,,,,
1,0,Albumin,0.025,biomarkers-30600-both_sexes-irnt.tsv,524,524,95,791,975,103,1.897114494144842e-06,0.8112820512820513,True,0.2,500,
2,0,Albumin,0.05,biomarkers-30600-both_sexes-irnt.tsv,,,,,,,,,,,,
3,0,Albumin,0.1,biomarkers-30600-both_sexes-irnt.tsv,297.0,297.0,38.0,270.0,366.0,38.0,1.897109906956051e-06,0.7377049180327869,,,,
4,0,Albumin,0.25,biomarkers-30600-both_sexes-irnt.tsv,,,,,,,,,,,,
5,0,Albumin,0.5,biomarkers-30600-both_sexes-irnt.tsv,368,79,117,344,366,38,1.704749342834583e-07,0.9398907103825136,False,,,500000
6,1,Alkaline phosphatase,0.01,biomarkers-30610-both_sexes-irnt.tsv,,,,,,,,,,,,
7,1,Alkaline phosphatase,0.025,biomarkers-30610-both_sexes-irnt.tsv,,,,,,,,,,,,
8,1,Alkaline phosphatase,0.05,biomarkers-30610-both_sexes-irnt.tsv,,,,,,,,,,,,
9,1,Alkaline phosphatase,0.1,biomarkers-30610-both_sexes-irnt.tsv,591.0,124.0,204.0,567.0,632.0,63.0,1.6861275412937058e-07,0.8971518987341772,,,,
10,1,Alkaline phosphatase,0.25,biomarkers-30610-both_sexes-irnt.tsv,,,,,,,,,,,,
11,1,Alkaline phosphatase,0.5,biomarkers-30610-both_sexes-irnt.tsv,621,77,451,608,632,63,6.919471783383706e-08,0.9620253164556962,False,,,500000
12,2,Alanine aminotransferase,0.01,biomarkers-30620-both_sexes-irnt.tsv,,,,,,,,,,,,
13,2,Alanine aminotransferase,0.025,biomarkers-30620-both_sexes-irnt.tsv,,,,,,,,,,,,
14,2,Alanine aminotransferase,0.05,biomarkers-30620-both_sexes-irnt.tsv,,,,,,,,,,,,
15,2,Alanine aminotransferase,0.1,biomarkers-30620-both_sexes-irnt.tsv,305.0,305.0,41.0,283.0,362.0,43.0,1.897118128095017e-06,0.7817679558011049,,,,
16,2,Alanine aminotransferase,0.25,biomarkers-30620-both_sexes-irnt.tsv,,,,,,,,,,,,
17,2,Alanine aminotransferase,0.5,biomarkers-30620-both_sexes-irnt.tsv,365,82,134,340,362,43,1.7047437661017337e-07,0.9392265193370166,False,,,500000
18,3,Apolipoprotein A,0.01,biomarkers-30630-both_sexes-irnt.tsv,,,,,,,,,,,,
19,3,Apolipoprotein A,0.025,biomarkers-30630-both_sexes-irnt.tsv,,,,,,,,,,,,
20,3,Apolipoprotein A,0.05,biomarkers-30630-both_sexes-irnt.tsv,,,,,,,,,,,,
21,3,Apolipoprotein A,0.1,biomarkers-30630-both_sexes-irnt.tsv,393.0,393.0,45.0,383.0,508.0,46.0,1.896880916514132e-06,0.7539370078740157,,,,
22,3,Apolipoprotein A,0.25,biomarkers-30630-both_sexes-irnt.tsv,,,,,,,,,,,,
23,3,Apolipoprotein A,0.5,biomarkers-30630-both_sexes-irnt.tsv,482,78,241,473,508,46,1.196387735310539e-07,0.9311023622047244,False,,,500000
24,4,Apolipoprotein B,0.01,biomarkers-30640-both_sexes-irnt.tsv,,,,,,,,,,,,
25,4,Apolipoprotein B,0.025,biomarkers-30640-both_sexes-irnt.tsv,,,,,,,,,,,,
26,4,Apolipoprotein B,0.05,biomarkers-30640-both_sexes-irnt.tsv,,,,,,,,,,,,
27,4,Apolipoprotein B,0.1,biomarkers-30640-both_sexes-irnt.tsv,220.0,220.0,22.0,203.0,269.0,25.0,1.8971224735048976e-06,0.7546468401486989,,,,
28,4,Apolipoprotein B,0.25,biomarkers-30640-both_sexes-irnt.tsv,,,,,,,,,,,,
29,4,Apolipoprotein B,0.5,biomarkers-30640-both_sexes-irnt.tsv,254,84,48,237,269,25,3.677072475966946e-07,0.8810408921933085,False,,,500000
30,7,Urea,0.01,biomarkers-30670-both_sexes-irnt.tsv,,,,,,,,,,,,
31,7,Urea,0.025,biomarkers-30670-both_sexes-irnt.tsv,375,375,49,520,705,53,1.897122594404292e-06,0.7375886524822695,True,0.2,500,
32,7,Urea,0.05,biomarkers-30670-both_sexes-irnt.tsv,,,,,,,,,,,,
33,7,Urea,0.1,biomarkers-30670-both_sexes-irnt.tsv,246.0,246.0,30.0,215.0,300.0,30.0,1.897122594404292e-06,0.7166666666666667,,,,
34,7,Urea,0.25,biomarkers-30670-both_sexes-irnt.tsv,,,,,,,,,,,,
35,7,Urea,0.5,biomarkers-30670-both_sexes-irnt.tsv,330,67,105,291,300,30,1.9894765989288705e-07,0.97,False,,,500000
36,8,Calcium,0.01,biomarkers-30680-both_sexes-irnt.tsv,,,,,,,,,,,,
37,8,Calcium,0.025,biomarkers-30680-both_sexes-irnt.tsv,693,235,159,846,908,72,4.488425735233545e-07,0.9317180616740088,True,0.2,500,
38,8,Calcium,0.05,biomarkers-30680-both_sexes-irnt.tsv,,,,,,,,,,,,
39,8,Calcium,0.1,biomarkers-30680-both_sexes-irnt.tsv,341.0,56.0,115.0,324.0,343.0,28.0,1.6512270491911958e-07,0.9446064139941692,,,,
40,8,Calcium,0.25,biomarkers-30680-both_sexes-irnt.tsv,,,,,,,,,,,,
41,8,Calcium,0.5,biomarkers-30680-both_sexes-irnt.tsv,339,33,242,331,343,28,6.989897049706166e-08,0.9650145772594751,False,,,500000
42,9,Cholesterol,0.01,biomarkers-30690-both_sexes-irnt.tsv,,,,,,,,,,,,
43,9,Cholesterol,0.025,biomarkers-30690-both_sexes-irnt.tsv,,,,,,,,,,,,
