,index,description,dir_name,num_snps_found,num_coding_snps_found,num_overlapping_snps,num_overlapping_loci,num_original_list,num_original_coding_snps,p_value_threshold,percentage_loci_recovered,ld_based_clumping,r2_threshold,kb_radius,window_size
5466,5466,Staphylococcus infections,phecode-041.1-both_sexes.tsv,0,0,0,0,1,0,4.156650834942748e-07,1.0,True,0.2,500,
5467,5467,Streptococcus infection,phecode-041.2-both_sexes.tsv,1,0,0,0,0,0,4.593661363301716e-07,1.0,True,0.2,500,
5470,5470,Herpes zoster with nervous system complications,phecode-053.1-both_sexes.tsv,0,0,0,0,1,0,2.534364129372363e-07,1.0,True,0.2,500,
5475,5475,Chronic hepatitis,phecode-070.4-both_sexes.tsv,14,7,4,21,21,2,2.791713325668244e-07,1.0,True,0.2,500,
5476,5476,Hepatitis NOS,phecode-070.9-both_sexes.tsv,1,1,1,1,1,1,2.909642581115025e-07,1.0,True,0.2,500,
5509,5509,Cancer of tongue,phecode-145.2-both_sexes.tsv,0,0,0,0,0,0,5.169573219923181e-07,1.0,True,0.2,500,
5510,5510,Cancer of major salivary glands,phecode-145.3-both_sexes.tsv,0,0,0,0,0,0,4.1386564104244557e-07,1.0,True,0.2,500,
5512,5512,Cancer of oropharynx,phecode-149.1-both_sexes.tsv,1,1,0,0,0,0,3.653615894126254e-07,1.0,True,0.2,500,
5513,5513,Cancer of larynx,phecode-149.4-both_sexes.tsv,0,0,0,0,0,0,2.9760407434489866e-07,1.0,True,0.2,500,
5517,5517,Colon cancer,phecode-153.2-both_sexes.tsv,4,1,2,4,5,1,3.7719102103220266e-07,0.8,True,0.2,500,
5518,5518,"Malignant neoplasm of rectum, rectosigmoid junction, and anus",phecode-153.3-both_sexes.tsv,5,0,2,3,3,0,4.137023659651114e-07,1.0,True,0.2,500,
5520,5520,"Malignant neoplasm of liver, primary",phecode-155.1-both_sexes.tsv,1,1,1,1,1,1,2.992848802655542e-07,1.0,True,0.2,500,
5524,5524,"Malignant neoplasm of small intestine, including duodenum",phecode-159.2-both_sexes.tsv,0,0,0,0,0,0,4.857305155029262e-07,1.0,True,0.2,500,
5525,5525,Malignant neoplasm of gallbladder and extrahepatic bile ducts,phecode-159.3-both_sexes.tsv,0,0,0,0,0,0,3.2000381689839817e-07,1.0,True,0.2,500,
