start;end;chr
11874;12227;1
12613;12721;1
13221;14409;1
29321;29370;1
24738;24891;1
18268;18366;1
17915;18061;1
17606;17742;1
17233;17368;1
16858;17055;1
16607;16765;1
15796;15947;1
14970;15038;1
14362;14829;1
17369;17436;1
17369;17391;1
17409;17431;1
30366;30503;1
30438;30458;1
35721;36081;1
35277;35481;1
34611;35174;1
65419;65433;1
65520;65573;1
69037;71585;1
126642;129225;1
140075;140566;1
139790;139847;1
134773;139696;1
228262;228787;1
323892;324060;1
324288;324345;1
324439;328581;1
334127;334504;1
367659;368597;1
379067;379573;1
470896;471368;1
564299;564389;1
563341;563603;1
562760;563203;1
567995;568065;1
568048;568065;1
610123;610626;1
621096;622034;1
653001;655582;1
713664;714014;1
709551;709660;1
708356;708487;1
704877;705092;1
703928;703993;1
701709;701767;1
700103;700627;1
694347;694503;1
691457;691521;1
684618;684761;1
679575;679771;1
678666;678730;1
675509;675566;1
674214;674404;1
670799;670993;1
668687;668744;1
668361;668593;1
667397;667587;1
665278;665335;1
661139;665184;1
752751;753582;1
754103;755214;1
761586;762902;1
762971;763155;1
764383;764484;1
783034;783186;1
787307;787490;1
788051;788146;1
788771;794826;1
762971;763155;1
764383;764484;1
787307;787490;1
788051;788146;1
788771;794826;1
762971;763155;1
764383;764484;1
787307;787490;1
788771;794826;1
762971;763155;1
764383;764484;1
788051;788146;1
788771;794826;1
762971;763155;1
764383;764484;1
776580;778984;1
763178;763229;1
764383;764484;1
787307;787490;1
788051;788146;1
788771;794826;1
812126;812182;1
809492;810535;1
803451;804055;1
808671;809894;1
854715;855072;1
854205;854295;1
853402;853495;1
852198;853100;1
854715;855072;1
854205;854295;1
853402;853555;1
852198;853100;1
860898;860984;1
858655;858841;1
858393;858523;1
858052;858115;1
855623;857889;1
859303;860328;1
861302;861393;1
865535;865716;1
866419;866469;1
871152;871276;1
874420;874509;1
874652;874792;1
876524;876686;1
877516;877631;1
877790;877868;1
877939;878438;1
878633;878757;1
879078;879188;1
879288;879954;1
859303;860328;1
861302;861393;1
865535;865716;1
866419;866469;1
871152;871276;1
874420;874509;1
874655;874792;1
876524;876686;1
877516;877631;1
877790;877868;1
877939;878438;1
878633;878757;1
879078;879188;1
879288;879954;1
861111;861180;1
861302;861393;1
865535;865716;1
866419;866469;1
871152;871276;1
874420;874509;1
874655;874840;1
876524;876686;1
877516;877631;1
877790;877868;1
877939;878438;1
878633;878757;1
879078;879188;1
879288;879954;1
894595;894636;1
894309;894461;1
892479;892653;1
892274;892405;1
891475;891595;1
891303;891393;1
889384;889462;1
889162;889272;1
888555;888668;1
887792;887980;1
887380;887519;1
886507;886618;1
883870;883983;1
883511;883612;1
881782;881925;1
881553;881666;1
880898;881033;1
880437;880526;1
879583;880180;1
895964;896180;1
896673;896932;1
897009;897130;1
897206;897427;1
897735;897851;1
898084;898297;1
898489;898633;1
898717;898884;1
899300;899388;1
